time,HIA,SWBGT,HUMIDEX
2022-06-04 04:00:00,9.92925610496833,13.149967806753915,9.434599041876293
2022-06-04 05:00:00,9.98538822733731,13.116549291313817,9.398498459765337
2022-06-04 06:00:00,10.841920197197826,13.618924553214509,10.278668582279744
2022-06-04 07:00:00,11.876634143438576,14.201947280082573,11.308208529778646
2022-06-04 08:00:00,12.905483846637445,14.721912112680293,12.247444242470745
2022-06-04 09:00:00,14.465915375189141,15.69022460626585,13.925981237440482
2022-06-04 10:00:00,15.911282122393704,16.628603902479817,15.539366577999836
2022-06-04 11:00:00,17.034744115755778,17.36929902811561,16.809410646851212
2022-06-04 12:00:00,17.848669734682773,17.980785601098482,17.83536728905147
2022-06-04 13:00:00,18.155565501111546,18.26721348216462,18.301145652492753
